Round1:____________________________
1:8 11__40
30:14 4__0
30:14 11__0
30:15 4__0
30:15 12__0
30:16 4__0
30:0 26__0
30:16 10__0
30:17 2__0
30:17 4__0
30:17 9__0
30:0 27__0
30:18 9__0
30:19 1__0
30:19 4__0
30:9 8__0
30:19 7__0
30:19 9__0
30:20 3__0
30:20 5__0
30:1 12__0
30:20 8__0
30:21 7__0
30:22 2__0
30:22 5__0
30:22 6__0
30:22 8__0
30:23 1__0
30:23 3__0
30:23 4__0
30:23 7__0
30:23 8__0
30:1 18__0
30:24 9__0
Round31:____________________________
31:2 30__332
31:7 32__278
31:4 3__100
31:3 34__82
31:7 20__45
31:6 34__38
31:3 30__26
31:19 1__25
31:24 3__21
31:4 30__20
31:4 5__20
31:9 27__18
31:23 8__14
31:4 1__12
31:23 7__10
31:4 34__9
31:10 30__7
31:3 23__5
31:7 33__4
31:14 3__4
31:0 25__3
31:23 4__3
31:2 20__1
31:1 20__1
31:4 4__1
31:23 3__1
31:2 17__0
31:2 18__0
31:2 21__0
31:2 26__0
31:2 28__0
31:3 10__0
31:3 15__0
31:3 20__0
31:3 21__0
31:3 26__0
31:3 29__0
31:2 16__0
31:4 2__0
31:4 6__0
31:4 9__0
31:4 16__0
31:4 17__0
31:4 18__0
31:4 19__0
31:4 21__0
31:4 23__0
31:4 26__0
31:5 5__0
31:5 7__0
31:5 15__0
31:5 17__0
31:5 18__0
31:5 19__0
31:5 20__0
31:5 22__0
31:5 24__0
31:5 25__0
31:5 31__0
31:5 33__0
31:6 6__0
31:6 15__0
31:6 17__0
31:6 21__0
31:6 31__0
31:0 19__0
31:7 15__0
31:7 17__0
31:7 19__0
31:0 21__0
31:7 31__0
31:0 22__0
31:0 27__0
31:7 34__0
31:8 14__0
31:8 17__0
31:8 18__0
31:8 30__0
31:9 5__0
31:9 6__0
31:9 8__0
31:9 9__0
31:9 14__0
31:9 16__0
31:1 12__0
31:9 30__0
31:10 7__0
31:10 10__0
31:10 14__0
31:10 16__0
31:10 26__0
31:10 28__0
31:1 18__0
31:11 3__0
31:1 26__0
31:11 8__0
31:11 11__0
31:11 13__0
31:11 16__0
31:12 1__0
31:12 2__0
31:12 5__0
31:12 9__0
31:12 12__0
31:13 2__0
31:13 4__0
31:13 10__0
31:13 11__0
31:14 1__0
31:11 6__0
31:14 5__0
31:15 4__0
31:17 2__0
31:1 27__0
31:22 2__0
31:22 5__0
31:22 6__0
31:22 8__0
31:23 1__0
31:1 31__0
31:1 32__0
31:1 33__0
31:2 11__0
31:0 12__0
31:24 9__0
Round32:____________________________
32:6 21__75
32:10 28__42
32:19 1__26
32:23 4__23
32:24 3__11
32:22 8__10
32:24 9__9
32:0 32__5
32:23 8__5
32:3 21__4
32:14 3__4
32:2 26__3
32:23 7__3
32:3 26__2
32:1 20__2
32:1 30__0
32:0 12__0
32:2 11__0
32:2 16__0
32:2 17__0
32:2 18__0
32:2 20__0
32:2 31__0
32:2 32__0
32:2 33__0
32:3 10__0
32:3 15__0
32:3 20__0
32:1 34__0
32:4 5__0
32:4 6__0
32:4 9__0
32:4 16__0
32:4 17__0
32:4 18__0
32:4 19__0
32:4 20__0
32:4 27__0
32:5 15__0
32:5 17__0
32:5 18__0
32:5 19__0
32:5 20__0
32:5 21__0
32:5 27__0
32:6 15__0
32:6 17__0
32:6 23__0
32:6 26__0
32:7 15__0
32:7 17__0
32:7 19__0
32:7 20__0
32:7 22__0
32:7 24__0
32:7 26__0
32:8 14__0
32:8 17__0
32:8 18__0
32:8 25__0
32:9 5__0
32:9 6__0
32:9 8__0
32:9 9__0
32:9 14__0
32:9 16__0
32:9 27__0
32:10 7__0
32:10 10__0
32:10 14__0
32:10 16__0
32:10 26__0
32:0 19__0
32:10 30__0
32:11 3__0
32:11 6__0
32:11 8__0
32:11 11__0
32:11 13__0
32:11 16__0
32:0 20__0
32:12 1__0
32:12 2__0
32:12 5__0
32:12 9__0
32:12 12__0
32:13 2__0
32:13 4__0
32:13 10__0
32:13 11__0
32:14 1__0
32:0 22__0
32:14 5__0
32:11 31__0
32:17 2__0
32:0 25__0
32:22 2__0
32:22 5__0
32:22 6__0
32:0 31__0
32:23 1__0
32:23 3__0
32:0 33__0
32:1 12__0
32:1 18__0
32:1 26__0
32:15 4__0
Round33:____________________________
33:11 31__477
33:12 24__424
33:5 24__295
33:2 22__190
33:10 26__102
33:10 28__66
33:3 26__39
33:3 21__31
33:10 25__28
33:3 22__23
33:19 1__23
33:23 4__23
33:2 26__13
33:23 7__11
33:0 32__5
33:23 8__5
33:14 3__4
33:0 25__3
33:5 22__1
33:24 3__1
33:0 12__0
33:2 16__0
33:2 17__0
33:2 18__0
33:2 20__0
33:2 31__0
33:2 32__0
33:2 33__0
33:3 10__0
33:3 15__0
33:3 20__0
33:2 11__0
33:4 5__0
33:4 6__0
33:4 9__0
33:4 16__0
33:4 17__0
33:4 18__0
33:4 19__0
33:4 22__0
33:4 27__0
33:5 15__0
33:5 17__0
33:5 18__0
33:5 19__0
33:5 20__0
33:5 27__0
33:6 15__0
33:6 17__0
33:6 21__0
33:6 23__0
33:6 25__0
33:6 26__0
33:7 15__0
33:7 17__0
33:7 19__0
33:7 20__0
33:7 24__0
33:7 26__0
33:8 14__0
33:8 17__0
33:8 18__0
33:8 25__0
33:9 5__0
33:9 6__0
33:9 8__0
33:9 9__0
33:9 14__0
33:9 16__0
33:9 27__0
33:10 7__0
33:10 10__0
33:10 14__0
33:10 16__0
33:0 19__0
33:0 20__0
33:0 22__0
33:10 29__0
33:10 30__0
33:10 32__0
33:10 33__0
33:10 34__0
33:11 3__0
33:11 6__0
33:11 8__0
33:11 11__0
33:11 13__0
33:11 16__0
33:11 24__0
33:0 31__0
33:12 1__0
33:12 2__0
33:12 5__0
33:12 9__0
33:12 12__0
33:0 33__0
33:13 2__0
33:13 4__0
33:13 10__0
33:13 11__0
33:13 23__0
33:14 1__0
33:1 12__0
33:14 5__0
33:15 4__0
33:17 2__0
33:1 18__0
33:22 2__0
33:22 5__0
33:22 6__0
33:22 8__0
33:23 1__0
33:23 3__0
33:1 20__0
33:1 26__0
33:1 30__0
33:1 34__0
33:24 9__0
Round34:____________________________
34:8 31__503
34:12 24__503
34:8 27__108
34:23 4__23
34:0 32__5
34:14 3__4
34:23 7__3
34:1 12__0
34:1 18__0
34:1 20__0
34:1 30__0
34:1 34__0
34:2 11__0
34:2 16__0
34:2 17__0
34:2 18__0
34:2 20__0
34:2 31__0
34:2 32__0
34:2 33__0
34:3 10__0
34:3 15__0
34:3 20__0
34:4 5__0
34:4 6__0
34:4 9__0
34:4 16__0
34:4 17__0
34:4 18__0
34:4 19__0
34:5 15__0
34:5 17__0
34:5 18__0
34:5 19__0
34:5 20__0
34:6 15__0
34:6 17__0
34:6 21__0
34:6 29__0
34:6 30__0
34:6 32__0
34:6 33__0
34:6 34__0
34:7 15__0
34:7 17__0
34:7 19__0
34:7 20__0
34:7 28__0
34:7 31__0
34:8 14__0
34:8 17__0
34:8 18__0
34:8 26__0
34:9 5__0
34:9 6__0
34:9 8__0
34:9 9__0
34:9 14__0
34:9 16__0
34:9 21__0
34:9 25__0
34:10 7__0
34:10 10__0
34:10 14__0
34:10 16__0
34:10 20__0
34:10 22__0
34:10 24__0
34:10 27__0
34:11 3__0
34:11 6__0
34:11 8__0
34:11 11__0
34:11 13__0
34:11 16__0
34:11 22__0
34:11 23__0
34:11 30__0
34:11 34__0
34:12 1__0
34:12 2__0
34:12 5__0
34:12 9__0
34:12 12__0
34:12 22__0
34:12 23__0
34:0 12__0
34:13 2__0
34:13 4__0
34:13 10__0
34:13 11__0
34:14 1__0
34:0 19__0
34:14 5__0
34:14 23__0
34:14 24__0
34:14 25__0
34:15 4__0
34:17 2__0
34:19 1__0
34:22 2__0
34:22 5__0
34:22 6__0
34:22 8__0
34:23 1__0
34:23 3__0
34:0 31__0
34:0 33__0
34:23 8__0
34:24 3__0
34:24 9__0
Round35:____________________________
35:23 7__352
35:24 3__112
35:23 4__107
35:19 1__26
35:0 32__5
35:14 3__4
35:22 5__1
35:1 20__0
35:1 30__0
35:1 34__0
35:2 11__0
35:2 16__0
35:2 17__0
35:2 18__0
35:2 20__0
35:2 31__0
35:2 32__0
35:2 33__0
35:3 10__0
35:3 15__0
35:3 20__0
35:4 5__0
35:4 6__0
35:4 9__0
35:4 16__0
35:4 17__0
35:4 18__0
35:4 19__0
35:5 15__0
35:5 17__0
35:5 18__0
35:5 19__0
35:5 20__0
35:6 15__0
35:6 17__0
35:6 21__0
35:7 15__0
35:7 17__0
35:7 19__0
35:7 20__0
35:8 14__0
35:8 17__0
35:8 18__0
35:9 5__0
35:9 6__0
35:9 8__0
35:9 9__0
35:9 14__0
35:9 16__0
35:10 7__0
35:10 10__0
35:10 14__0
35:10 16__0
35:11 3__0
35:11 6__0
35:11 8__0
35:11 11__0
35:11 13__0
35:11 16__0
35:12 1__0
35:12 2__0
35:12 5__0
35:12 9__0
35:12 12__0
35:13 2__0
35:13 4__0
35:13 10__0
35:13 11__0
35:14 1__0
35:0 12__0
35:14 5__0
35:15 4__0
35:17 2__0
35:0 19__0
35:22 2__0
35:0 31__0
35:22 6__0
35:22 8__0
35:23 1__0
35:23 3__0
35:0 33__0
35:1 12__0
35:23 8__0
35:1 18__0
35:24 9__0
Round36:____________________________
36:12 22__684
36:11 19__178
36:13 12__168
36:22 11__118
36:19 11__86
36:11 17__83
36:21 11__51
36:24 11__34
36:23 11__32
36:4 1__24
36:0 32__20
36:17 9__20
36:13 4__15
36:4 5__5
36:14 1__4
36:13 11__3
36:2 20__0
36:2 31__0
36:2 32__0
36:2 33__0
36:3 10__0
36:3 15__0
36:3 20__0
36:4 2__0
36:4 3__0
36:4 4__0
36:4 6__0
36:4 9__0
36:4 16__0
36:4 17__0
36:4 18__0
36:4 19__0
36:5 5__0
36:5 7__0
36:5 8__0
36:5 15__0
36:5 17__0
36:5 18__0
36:5 19__0
36:5 20__0
36:6 6__0
36:6 15__0
36:6 17__0
36:6 21__0
36:7 15__0
36:7 17__0
36:7 19__0
36:7 20__0
36:8 14__0
36:8 17__0
36:8 18__0
36:9 4__0
36:9 5__0
36:9 6__0
36:2 18__0
36:9 9__0
36:9 14__0
36:9 16__0
36:9 21__0
36:10 3__0
36:10 7__0
36:10 10__0
36:10 14__0
36:10 16__0
36:10 20__0
36:10 22__0
36:11 3__0
36:11 6__0
36:11 8__0
36:11 11__0
36:11 13__0
36:0 12__0
36:11 18__0
36:0 19__0
36:11 22__0
36:12 1__0
36:12 2__0
36:12 5__0
36:12 9__0
36:12 12__0
36:0 31__0
36:13 2__0
36:0 33__0
36:13 10__0
36:1 12__0
36:1 18__0
36:1 20__0
36:14 3__0
36:14 5__0
36:14 11__0
36:14 23__0
36:15 1__0
36:15 4__0
36:15 11__0
36:16 2__0
36:9 8__0
36:17 2__0
36:1 30__0
36:18 0__0
36:18 2__0
36:18 9__0
36:19 1__0
36:19 10__0
36:1 34__0
36:20 11__0
36:2 11__0
36:2 16__0
36:2 17__0
36:16 10__0
Round37:____________________________
37:14 17__150
37:23 13__133
37:14 13__125
37:16 24__108
37:16 20__97
37:22 11__93
37:19 7__90
37:24 15__71
37:15 6__63
37:16 6__55
37:16 23__49
37:14 12__47
37:10 16__19
37:12 18__11
37:13 19__8
37:11 17__5
37:13 9__4
37:4 5__3
37:6 4__3
37:8 20__2
37:14 18__1
37:0 12__0
37:4 9__0
37:4 16__0
37:4 17__0
37:4 18__0
37:4 19__0
37:5 2__0
37:5 8__0
37:5 15__0
37:5 17__0
37:5 18__0
37:5 19__0
37:5 20__0
37:6 3__0
37:6 7__0
37:6 15__0
37:6 17__0
37:6 21__0
37:6 22__0
37:7 4__0
37:7 7__0
37:7 15__0
37:7 17__0
37:7 19__0
37:7 20__0
37:7 21__0
37:7 23__0
37:8 5__0
37:8 7__0
37:8 14__0
37:8 17__0
37:8 18__0
37:8 22__0
37:9 4__0
37:9 6__0
37:9 8__0
37:9 9__0
37:9 14__0
37:9 16__0
37:9 20__0
37:9 22__0
37:10 3__0
37:10 7__0
37:10 10__0
37:10 14__0
37:10 21__0
37:11 3__0
37:11 6__0
37:11 8__0
37:9 5__0
37:11 13__0
37:0 19__0
37:12 1__0
37:12 2__0
37:12 5__0
37:12 9__0
37:12 12__0
37:1 12__0
37:13 2__0
37:13 4__0
37:13 7__0
37:13 8__0
37:1 18__0
37:13 10__0
37:13 11__0
37:13 12__0
37:11 11__0
37:14 1__0
37:14 2__0
37:14 3__0
37:14 5__0
37:14 6__0
37:1 20__0
37:2 11__0
37:14 14__0
37:2 16__0
37:2 17__0
37:14 19__0
37:14 22__0
37:15 0__0
37:15 3__0
37:15 4__0
37:2 18__0
37:15 20__0
37:15 23__0
37:2 20__0
37:3 10__0
37:16 11__0
37:3 15__0
37:16 21__0
37:16 22__0
37:3 20__0
37:4 1__0
37:17 3__0
37:17 5__0
37:17 11__0
37:18 0__0
37:18 2__0
37:18 5__0
37:18 11__0
37:19 0__0
37:19 2__0
37:16 3__0
37:4 2__0
37:20 1__0
37:20 7__0
37:20 12__0
37:21 7__0
37:21 12__0
37:21 13__0
37:21 14__0
37:21 15__0
37:22 8__0
37:22 9__0
37:22 10__0
37:4 3__0
37:23 12__0
37:4 4__0
37:24 14__0
37:19 6__0
Round38:____________________________
38:13 17__152
38:17 18__131
38:20 24__98
38:20 20__96
38:15 11__92
38:19 11__89
38:17 16__86
38:23 17__81
38:22 15__69
38:12 17__59
38:20 23__56
38:24 19__33
38:17 8__17
38:20 11__12
38:16 8__11
38:14 9__10
38:21 9__10
38:22 14__7
38:21 3__4
38:4 3__4
38:4 9__3
38:9 9__2
38:10 2__2
38:10 3__2
38:13 13__2
38:17 2__2
38:19 8__2
38:6 1__1
38:18 6__1
38:20 25__1
38:5 15__0
38:5 17__0
38:5 18__0
38:5 19__0
38:5 20__0
38:6 10__0
38:6 15__0
38:6 17__0
38:6 21__0
38:6 22__0
38:7 1__0
38:7 10__0
38:7 15__0
38:7 17__0
38:7 19__0
38:7 20__0
38:7 21__0
38:7 23__0
38:8 1__0
38:8 10__0
38:8 14__0
38:8 17__0
38:8 18__0
38:8 20__0
38:8 22__0
38:9 1__0
38:9 14__0
38:9 16__0
38:9 20__0
38:9 22__0
38:10 7__0
38:10 10__0
38:10 14__0
38:10 16__0
38:10 21__0
38:11 6__0
38:11 8__0
38:11 11__0
38:11 13__0
38:11 17__0
38:12 1__0
38:12 2__0
38:12 5__0
38:12 7__0
38:12 9__0
38:12 12__0
38:13 2__0
38:13 4__0
38:13 5__0
38:13 6__0
38:13 8__0
38:13 10__0
38:13 11__0
38:13 12__0
38:4 19__0
38:0 12__0
38:13 18__0
38:13 19__0
38:14 1__0
38:14 3__0
38:14 4__0
38:14 7__0
38:0 19__0
38:14 10__0
38:14 11__0
38:14 15__0
38:14 16__0
38:14 20__0
38:15 0__0
38:15 2__0
38:15 5__0
38:15 6__0
38:15 8__0
38:1 12__0
38:15 20__0
38:16 2__0
38:16 3__0
38:16 4__0
38:16 5__0
38:16 7__0
38:1 18__0
38:16 20__0
38:1 20__0
38:17 6__0
38:17 7__0
38:2 11__0
38:2 16__0
38:17 17__0
38:2 17__0
38:17 19__0
38:18 3__0
38:18 4__0
38:2 18__0
38:18 8__0
38:18 20__0
38:2 20__0
38:18 22__0
38:19 0__0
38:19 4__0
38:19 5__0
38:3 10__0
38:3 15__0
38:19 20__0
38:19 23__0
38:20 1__0
38:20 3__0
38:20 5__0
38:20 6__0
38:20 8__0
38:3 20__0
38:20 13__0
38:4 1__0
38:4 2__0
38:4 4__0
38:4 16__0
38:21 2__0
38:11 3__0
38:21 7__0
38:21 8__0
38:4 17__0
38:21 10__0
38:21 11__0
38:21 16__0
38:22 4__0
38:22 9__0
38:22 12__0
38:22 13__0
38:4 18__0
38:5 1__0
38:23 5__0
38:23 6__0
38:23 7__0
38:23 9__0
38:23 16__0
38:5 10__0
38:24 8__0
38:24 18__0
38:18 21__0
Round39:____________________________
39:8 31__500
39:9 25__269
39:16 24__150
39:6 7__104
39:20 28__82
39:21 28__49
39:7 7__39
39:8 7__34
39:5 7__24
39:8 27__15
39:16 6__5
39:9 22__4
39:24 26__4
39:20 9__4
39:13 5__3
39:16 17__3
39:21 19__3
39:23 10__3
39:15 16__2
39:23 17__2
39:12 24__1
39:15 17__1
39:22 10__1
39:23 16__1
39:24 21__1
39:4 16__0
39:4 17__0
39:4 18__0
39:4 19__0
39:5 8__0
39:5 15__0
39:5 17__0
39:5 18__0
39:5 19__0
39:5 20__0
39:6 15__0
39:6 17__0
39:6 21__0
39:6 22__0
39:6 29__0
39:6 30__0
39:6 32__0
39:6 33__0
39:6 34__0
39:7 15__0
39:7 17__0
39:7 19__0
39:7 20__0
39:7 21__0
39:7 23__0
39:7 28__0
39:7 31__0
39:8 14__0
39:8 17__0
39:8 18__0
39:8 20__0
39:8 22__0
39:8 26__0
39:9 0__0
39:9 7__0
39:9 8__0
39:9 9__0
39:9 14__0
39:9 16__0
39:9 20__0
39:10 1__0
39:10 3__0
39:10 7__0
39:10 10__0
39:10 14__0
39:10 16__0
39:10 21__0
39:10 24__0
39:10 27__0
39:11 2__0
39:11 3__0
39:11 6__0
39:11 8__0
39:11 11__0
39:11 13__0
39:11 16__0
39:11 23__0
39:11 30__0
39:11 34__0
39:12 1__0
39:12 2__0
39:12 5__0
39:12 9__0
39:12 12__0
39:12 15__0
39:12 22__0
39:12 23__0
39:13 2__0
39:13 6__0
39:13 10__0
39:13 11__0
39:13 13__0
39:13 14__0
39:13 15__0
39:13 16__0
39:13 21__0
39:14 1__0
39:14 2__0
39:14 7__0
39:14 14__0
39:14 17__0
39:14 18__0
39:14 19__0
39:14 20__0
39:14 22__0
39:15 0__0
39:15 7__0
39:15 13__0
39:15 14__0
39:15 15__0
39:0 12__0
39:0 19__0
39:15 21__0
39:15 22__0
39:1 12__0
39:16 7__0
39:16 8__0
39:16 12__0
39:1 18__0
39:16 21__0
39:16 23__0
39:1 20__0
39:17 5__0
39:17 9__0
39:17 13__0
39:17 14__0
39:17 15__0
39:17 21__0
39:17 24__0
39:18 7__0
39:18 9__0
39:18 15__0
39:18 21__0
39:18 22__0
39:18 25__0
39:18 26__0
39:19 0__0
39:19 7__0
39:19 9__0
39:19 13__0
39:19 15__0
39:19 23__0
39:19 27__0
39:2 11__0
39:20 7__0
39:2 16__0
39:20 10__0
39:20 12__0
39:20 14__0
39:20 15__0
39:20 21__0
39:20 22__0
39:2 17__0
39:21 11__0
39:21 13__0
39:21 15__0
39:21 17__0
39:21 18__0
39:2 18__0
39:21 20__0
39:21 23__0
39:2 20__0
39:22 0__0
39:22 8__0
39:3 10__0
39:22 15__0
39:22 20__0
39:20 0__0
39:22 22__0
39:22 25__0
39:22 26__0
39:22 27__0
39:23 1__0
39:23 2__0
39:23 3__0
39:3 15__0
39:23 13__0
39:3 20__0
39:4 4__0
39:23 20__0
39:23 23__0
39:23 24__0
39:24 3__0
39:24 11__0
39:24 12__0
39:24 14__0
39:24 15__0
39:24 20__0
39:4 9__0
39:24 22__0
39:24 25__0
39:22 21__0
Round40:____________________________
40:19 20__244
40:13 17__164
40:24 20__144
40:13 5__116
40:16 12__98
40:15 20__85
40:23 23__61
40:15 10__60
40:15 14__34
40:13 6__16
40:14 9__14
40:16 20__13
40:5 5__4
40:5 4__2
40:5 3__2
40:18 20__1
40:4 7__0
40:4 8__0
40:4 9__0
40:4 16__0
40:4 17__0
40:4 18__0
40:4 19__0
40:5 6__0
40:5 10__0
40:5 15__0
40:5 17__0
40:5 18__0
40:5 19__0
40:5 20__0
40:6 5__0
40:6 7__0
40:6 8__0
40:6 9__0
40:6 15__0
40:6 17__0
40:6 21__0
40:7 5__0
40:7 6__0
40:7 15__0
40:7 17__0
40:7 19__0
40:7 20__0
40:8 5__0
40:8 14__0
40:8 17__0
40:8 18__0
40:9 0__0
40:9 6__0
40:9 8__0
40:9 9__0
40:9 14__0
40:9 16__0
40:10 1__0
40:10 3__0
40:10 7__0
40:10 10__0
40:10 14__0
40:10 16__0
40:11 2__0
40:11 3__0
40:11 6__0
40:11 8__0
40:11 11__0
40:11 13__0
40:11 16__0
40:11 18__0
40:11 19__0
40:12 1__0
40:12 2__0
40:12 5__0
40:12 9__0
40:12 12__0
40:12 15__0
40:12 17__0
40:12 20__0
40:13 2__0
40:0 12__0
40:0 19__0
40:13 7__0
40:13 8__0
40:13 10__0
40:13 11__0
40:13 13__0
40:13 14__0
40:13 15__0
40:13 16__0
40:1 12__0
40:13 20__0
40:14 1__0
40:14 2__0
40:1 18__0
40:14 14__0
40:14 21__0
40:15 0__0
40:1 20__0
40:15 13__0
40:2 11__0
40:2 16__0
40:16 11__0
40:2 17__0
40:2 18__0
40:17 20__0
40:17 21__0
40:2 20__0
40:18 22__0
40:3 10__0
40:19 23__0
40:20 0__0
40:20 23__0
40:21 24__0
40:22 0__0
40:22 14__0
40:22 24__0
40:22 25__0
40:22 26__0
40:23 1__0
40:23 2__0
40:23 3__0
40:23 10__0
40:23 11__0
40:23 12__0
40:23 13__0
40:23 15__0
40:23 16__0
40:23 17__0
40:3 15__0
40:23 24__0
40:24 3__0
40:24 11__0
40:24 12__0
40:24 14__0
40:24 15__0
40:3 20__0
40:24 21__0
40:24 22__0
40:24 25__0
40:24 26__0
Round41:____________________________
41:17 19__516
41:17 18__187
41:17 5__88
41:17 17__87
41:17 16__85
41:19 11__85
41:17 4__62
41:19 10__46
41:13 2__42
41:19 12__33
41:15 16__15
41:9 4__10
41:9 5__5
41:20 24__3
41:5 7__2
41:21 24__2
41:21 18__1
41:4 7__0
41:4 8__0
41:4 9__0
41:4 16__0
41:4 17__0
41:4 18__0
41:4 19__0
41:5 15__0
41:5 17__0
41:5 18__0
41:5 19__0
41:5 20__0
41:6 7__0
41:6 15__0
41:6 17__0
41:6 21__0
41:7 7__0
41:7 15__0
41:7 17__0
41:7 19__0
41:7 20__0
41:8 7__0
41:8 14__0
41:8 17__0
41:8 18__0
41:9 0__0
41:9 6__0
41:9 8__0
41:9 9__0
41:9 14__0
41:9 16__0
41:10 1__0
41:10 3__0
41:10 4__0
41:10 7__0
41:10 10__0
41:10 14__0
41:10 16__0
41:11 2__0
41:11 3__0
41:11 6__0
41:11 8__0
41:11 11__0
41:11 13__0
41:11 16__0
41:12 1__0
41:12 2__0
41:12 5__0
41:12 9__0
41:12 12__0
41:12 15__0
41:13 4__0
41:13 10__0
41:13 11__0
41:13 13__0
41:13 14__0
41:13 21__0
41:14 1__0
41:14 3__0
41:14 18__0
41:14 19__0
41:14 20__0
41:15 0__0
41:15 2__0
41:0 12__0
41:15 17__0
41:15 21__0
41:15 22__0
41:16 3__0
41:16 15__0
41:16 21__0
41:16 22__0
41:0 19__0
41:1 12__0
41:17 6__0
41:17 7__0
41:17 8__0
41:17 14__0
41:17 15__0
41:1 18__0
41:1 20__0
41:2 11__0
41:2 16__0
41:17 21__0
41:17 23__0
41:18 9__0
41:18 13__0
41:18 23__0
41:18 24__0
41:18 25__0
41:18 26__0
41:2 17__0
41:2 18__0
41:2 20__0
41:19 23__0
41:19 27__0
41:20 0__0
41:20 20__0
41:20 23__0
41:3 10__0
41:20 27__0
41:3 15__0
41:21 19__0
41:21 20__0
41:3 20__0
41:21 27__0
41:22 20__0
41:22 21__0
41:22 22__0
41:22 23__0
41:22 26__0
41:23 0__0
41:23 17__0
41:23 18__0
41:23 19__0
41:23 21__0
41:23 23__0
41:23 24__0
41:23 25__0
41:24 0__0
41:24 2__0
41:24 16__0
41:24 22__0
Round42:____________________________
42:21 4__382
42:18 25__149
42:21 17__113
42:20 19__93
42:20 4__89
42:21 13__79
42:21 9__72
42:19 22__61
42:20 3__45
42:21 14__43
42:18 24__41
42:18 6__31
42:21 11__30
42:18 8__29
42:21 8__27
42:19 2__21
42:13 17__12
42:21 5__7
42:16 8__5
42:18 7__5
42:9 2__4
42:8 7__3
42:4 7__2
42:9 5__2
42:21 16__2
42:21 15__1
42:5 18__0
42:5 19__0
42:5 20__0
42:6 8__0
42:6 15__0
42:6 17__0
42:6 21__0
42:7 8__0
42:7 15__0
42:7 17__0
42:7 19__0
42:7 20__0
42:8 14__0
42:8 17__0
42:8 18__0
42:9 0__0
42:5 8__0
42:9 4__0
42:9 7__0
42:9 8__0
42:9 9__0
42:9 14__0
42:9 16__0
42:10 1__0
42:10 3__0
42:10 4__0
42:10 7__0
42:10 10__0
42:10 14__0
42:10 16__0
42:11 3__0
42:11 6__0
42:11 8__0
42:11 11__0
42:11 13__0
42:11 16__0
42:11 17__0
42:11 18__0
42:12 1__0
42:12 2__0
42:12 5__0
42:12 9__0
42:12 12__0
42:12 15__0
42:12 19__0
42:13 2__0
42:13 4__0
42:13 10__0
42:13 11__0
42:13 13__0
42:13 14__0
42:13 16__0
42:13 18__0
42:14 1__0
42:14 3__0
42:14 13__0
42:14 15__0
42:14 18__0
42:14 21__0
42:15 1__0
42:15 14__0
42:15 16__0
42:15 17__0
42:15 20__0
42:15 22__0
42:16 2__0
42:16 4__0
42:16 5__0
42:16 6__0
42:16 7__0
42:0 19__0
42:16 9__0
42:16 10__0
42:16 13__0
42:16 20__0
42:16 23__0
42:17 1__0
42:17 3__0
42:17 11__0
42:17 12__0
42:17 14__0
42:17 20__0
42:17 22__0
42:17 24__0
42:18 2__0
42:18 5__0
42:1 12__0
42:1 18__0
42:1 20__0
42:18 10__0
42:18 12__0
42:18 13__0
42:18 21__0
42:18 23__0
42:2 11__0
42:2 16__0
42:18 26__0
42:2 17__0
42:19 3__0
42:19 6__0
42:19 7__0
42:19 9__0
42:19 10__0
42:19 12__0
42:19 16__0
42:19 20__0
42:19 21__0
42:2 18__0
42:19 27__0
42:20 0__0
42:2 20__0
42:3 10__0
42:20 8__0
42:20 11__0
42:20 15__0
42:20 17__0
42:20 18__0
42:3 15__0
42:20 27__0
42:20 28__0
42:3 20__0
42:4 8__0
42:4 9__0
42:4 16__0
42:21 10__0
42:4 17__0
42:21 12__0
42:4 18__0
42:4 19__0
42:0 12__0
42:5 15__0
42:5 17__0
42:23 0__0
42:23 26__0
42:24 0__0
42:24 2__0
42:24 26__0
Round43:____________________________
43:21 3__87
43:11 16__81
43:24 4__47
43:22 16__38
43:4 7__25
43:14 21__20
43:13 16__19
43:13 17__12
43:9 2__10
43:14 18__6
43:9 4__6
43:21 16__5
43:9 5__4
43:24 26__3
43:16 10__3
43:17 2__3
43:22 22__3
43:5 7__2
43:18 11__2
43:19 4__2
43:19 5__2
43:20 7__2
43:22 8__2
43:6 7__1
43:8 17__1
43:16 4__1
43:21 6__1
43:23 26__1
43:4 17__0
43:4 18__0
43:4 19__0
43:5 17__0
43:5 18__0
43:5 19__0
43:5 20__0
43:6 15__0
43:6 17__0
43:6 21__0
43:7 7__0
43:7 15__0
43:7 17__0
43:7 19__0
43:7 20__0
43:8 7__0
43:8 14__0
43:8 18__0
43:9 0__0
43:5 15__0
43:9 7__0
43:9 8__0
43:9 9__0
43:9 14__0
43:9 16__0
43:10 1__0
43:10 3__0
43:10 4__0
43:10 7__0
43:10 10__0
43:10 14__0
43:10 16__0
43:11 3__0
43:11 6__0
43:11 8__0
43:11 11__0
43:11 13__0
43:11 17__0
43:11 18__0
43:12 1__0
43:12 2__0
43:12 5__0
43:12 9__0
43:12 12__0
43:12 15__0
43:12 19__0
43:13 2__0
43:13 4__0
43:13 10__0
43:13 11__0
43:13 13__0
43:13 14__0
43:13 18__0
43:14 1__0
43:14 3__0
43:14 11__0
43:14 13__0
43:14 15__0
43:0 12__0
43:15 2__0
43:15 5__0
43:15 8__0
43:15 10__0
43:15 12__0
43:15 14__0
43:15 16__0
43:15 17__0
43:15 20__0
43:15 22__0
43:16 3__0
